generation,best_fitness,avg_fitness,worst_fitness
1,1496.05,360.772,10.4955
2,1950.66,491.412,16.4087
3,1642.55,558.928,27.1573
4,2041.91,576.789,13.2139
5,1842.29,598.18,19.2655
6,2512.63,608.055,46.7926
7,1844.05,637.16,17.2048
8,1657.72,657.907,32.5738
9,1767.06,661.835,43.8561
10,1869.65,688.037,60.2571
11,1832.51,733.744,22.841
12,1786.68,696.701,86.9992
13,1906.01,755.028,58.146
14,1947.46,768.007,31.0144
15,1909.78,751.06,57.0605
16,1927.19,767.645,66.4022
17,1978.81,787.513,50.5583
18,2228.14,783.947,95.2596
19,2245.56,812.396,132.051
20,2215.87,845.604,121.549
21,2355.84,850.891,151.262
22,1911.6,876.389,59.7685
23,1957.03,868.805,216.79
24,2046.35,882.901,158.131
25,2203.05,908.576,202.96
26,2006.56,887.938,236.851
27,2109.55,908.272,230.247
28,2408.81,926.206,145.057
29,2557.39,950.439,223.743
30,2279.3,942.776,161.686
31,2247.68,944.216,196.249
32,2131.33,947.339,70.7842
33,2229.39,983.899,236.31
34,2440.55,999.871,167.152
35,2219.11,991.608,142.663
36,2535.89,1027.42,145.016
37,2634.08,1026.85,173.268
38,2244.84,998.425,215.51
39,2272,1041.53,284.903
40,2219.49,1006.78,257.719
41,2609.14,1045.95,307.527
42,2229.98,1047.98,301.471
43,2452.6,1080.82,249.497
44,2696.94,1079.39,249.966
45,2842.02,1089.17,92.1528
46,3130.89,1103.72,284.608
47,2298.4,1111.5,173.772
48,2466.1,1113.74,317.549
49,2615.03,1140.44,360.588
50,2600.62,1131.99,220.302
51,2507.3,1178.53,305.161
52,2654.36,1176.92,350.368
53,2529.17,1194.76,364.802
54,2829.3,1161.89,430.309
55,2397.58,1191.37,305.158
56,2777.38,1203.64,225.913
57,2888.37,1221.13,414.644
58,2937.84,1228.54,425.532
59,2689.71,1215.92,486.588
60,2673.67,1277.81,328.701
61,2757.06,1271.52,272.471
62,2875.45,1266.84,374.372
63,3039.79,1245.26,300.326
64,2771.11,1270.53,369.2
65,2590.19,1285.88,374.947
66,3155.68,1273.45,315.485
67,2623.95,1293.33,218.066
68,2861.92,1290.26,441.105
69,3020.12,1315.93,436.739
70,2791.73,1350.55,361.396
71,2950.71,1359.6,449.166
72,3349.04,1340.77,409.789
73,2763,1376.82,386.723
74,2875.98,1368.14,253.439
75,2648.84,1373.78,433.892
76,2978.38,1415.14,382.104
77,2761.13,1409.34,314.581
78,2986.59,1386.34,307.295
79,2877.43,1423.15,390.813
80,3078.91,1429.21,407.205
81,3513.29,1462.84,459.29
82,3379.12,1469.68,481.299
83,2829.33,1496.75,509.965
84,3255.57,1479.13,516.75
85,3173.71,1490.49,501.836
86,3066.96,1473.84,473.367
87,3198.81,1486.5,414.305
88,3626.43,1558.88,598.874
89,3501.71,1565.2,545.974
90,3168.16,1539.9,438.56
91,3734.67,1814.23,583.694
92,7147.35,3120.41,1138.06
93,3525.03,1532.55,407.145
94,3059.84,1549.76,624.346
95,3959.35,1569,563.551
96,3528.29,1567.62,670.066
97,3577.49,1612.7,479.049
98,3242.88,1603.09,492.279
99,3352.38,1593.01,528.671
100,3240.78,1575.01,550.403
101,3191.83,1583.86,335.101
102,3408.08,1642.67,417.019
103,3432.36,1624.79,498.868
104,3947.03,1631.88,528.741
105,3168.31,1635.75,628.999
106,3494.07,1647.58,603.623
107,4053.89,1616.63,506.033
108,3726.58,1648.47,500.968
109,3105.76,1676.88,600.802
110,3409.56,1671.89,545.447
111,3471.53,1664.79,531.481
112,3528.73,1671.82,426.245
113,3545.13,1681.85,621.246
114,3500.2,1673.75,232.405
115,3409.86,1696.41,396.924
116,3400.46,1714.39,620.045
117,3205.63,1690.34,513.209
118,3407.83,1729.88,469.608
119,3426.46,1764.33,314.801
120,3623.24,1769.22,540.802
121,3406.99,1717.58,381.551
122,3640.72,1746.52,620.499
123,3752.59,1760.74,521.019
124,3971.86,1762.38,598.627
125,3350.54,1750.64,458.254
126,3229.11,1787.77,417.06
127,3604.7,1757.75,536.665
128,3787.48,1728.59,505.943
129,3552.49,1766.29,724.677
130,4038.48,1813.62,451.586
131,3870.24,1780.14,546.013
132,3547.39,1806.19,698.488
133,3659.52,1788.04,616.609
134,3406.41,1784.15,545.174
135,3589.03,1832.65,524.867
136,3510.42,1811.07,573.76
137,4017.01,1833.31,540.241
138,4363.94,1819.49,566.859
139,3766.2,1815.47,537.985
140,4645.3,1792.26,751.304
141,3951.68,1822.31,710.715
142,3584.72,1828.99,628.763
143,3557.63,1858.63,488.14
144,3135,1805.82,479.165
145,3676.73,1799.91,543.308
146,4083.14,1826.78,501.836
147,4037.42,1786.2,475.03
148,3928.11,1817.57,769.787
149,4238.16,1821.25,660.458
150,4335.97,1837.68,458.559
151,4093.53,1829.08,481.69
152,7486.13,2433.68,947.997
153,8384.96,3402.05,684.67
154,4321.49,1826.93,609.226
155,5455.42,1945.89,564.407
156,4420.46,1975.68,664.598
157,4025.26,2059.31,576.035
158,4141.55,2090.34,659.213
159,4337.99,2123.36,704.88
160,4331.4,2125.13,585.938
161,5044.59,2157.71,717.183
162,4832.41,2195,807.112
163,4742.93,2229.95,687.414
164,4512.11,2256.9,672.19
165,4806.52,2259.26,685.188
166,5256.05,2323.4,911.479
167,4849.04,2359.54,889.381
168,5223.66,2383.11,892.556
169,5395.38,2415.52,816.042
170,5104.22,2463.05,891.344
171,5482.1,2490.43,737.517
172,4939.06,2440.1,754.863
173,5202.55,2488.79,993.852
174,5405.82,2513.21,843.755
175,5035.14,2482.42,970.56
176,5260.91,2527.22,987.808
177,5179.5,2600.6,979.892
178,5522.75,2602.09,1069.09
179,5632,2578.19,980.335
180,5099.43,2621.55,954.333
181,6436.71,2639.31,879.872
182,586.81,122.777,0.168314
